,Spieler,Nation,Nationalelf
1927,Ivica Senzen,['Kroatien'],Kroatien
1928,Hermann-Josef Wilbertz,['Deutschland'],Deutschland
1929,Hans-Joachim Wagner,['Deutschland'],Deutschland
1930,Jörg Reeb,['Deutschland'],Deutschland
1931,Jan Polák,['Tschechien'],Tschechien
1932,Mark Hughes,['Wales'],Wales
1933,Horst Blechinger,['Deutschland'],Deutschland
1934,Timo Gebhart,['Deutschland'],Deutschland
1935,Obafemi Martins,"['Nigeria', 'Italien']",Nigeria
1936,Helmut Hosung,['Deutschland'],Deutschland
1937,Ricardo Costa,['Portugal'],Portugal
1938,Dayot Upamecano,"['Frankreich', 'Guinea-Bissau']",Frankreich
1939,Silvio Schröter,['Deutschland'],Deutschland
1940,Clint Mathis,['USA'],USA
1941,Henrik Andersen,['Dänemark'],Dänemark
1942,Jürgen Schult,['Deutschland'],Deutschland
1943,Marinus Bester,['Deutschland'],Deutschland
1944,Josef Martinelli,['Deutschland'],Deutschland
1945,Alfred Kohlhäufl,['Deutschland'],Deutschland
1946,Anthar Yahia,"['Algerien', 'Frankreich']",Algerien
1947,Carsten Marquardt,['Deutschland'],Deutschland
1948,Bernd Gorski,['Deutschland'],Deutschland
1949,Dieter Finke,['Deutschland'],Deutschland
1950,Olaf Schmäler,['Deutschland'],Deutschland
1951,Sreto Ristic,"['Serbien', 'Deutschland']",Serbien
1952,Maximilian Heidenreich,['Deutschland'],Deutschland
1953,René Unglaube,['Deutschland'],Deutschland
1954,Ottmar Hitzfeld,"['Deutschland', 'Schweiz']",Deutschland
1955,Jan Thielmann,['Deutschland'],Deutschland
1956,Norbert Runge,['Deutschland'],Deutschland
1957,Reinhold Zech,['Deutschland'],Deutschland
1958,Dennis Srbeny,['Deutschland'],Deutschland
1959,Leandro,['Brasilien'],Brasilien
1960,Tomasz Klos,['Polen'],Polen
1961,Tony Jantschke,['Deutschland'],Deutschland
1962,Razundara Tjikuzu,['Namibia'],Namibia
1963,Nikola Jurčević,['Kroatien'],Kroatien
1964,Jordan Torunarigha,['Deutschland'],Deutschland
1965,Amin Younes,"['Deutschland', 'Libanon']",Deutschland
1966,Owen Hargreaves,"['England', 'Kanada']",England
1967,Ulrich Braun,['Deutschland'],Deutschland
1968,Axel Bellinghausen,['Deutschland'],Deutschland
1969,Heinz Steinmann,['Deutschland'],Deutschland
1970,Bernd Thiele,['Deutschland'],Deutschland
1971,Javier Pinola,"['Argentinien', 'Italien']",Argentinien
1972,Tony Sanneh,['USA'],USA
1973,Antoine Hey,['Deutschland'],Deutschland
1974,Dieter Timme,['Deutschland'],Deutschland
1975,David Mitchell,['Australien'],Australien
1976,Alexander Sörloth,['Norwegen'],Norwegen
1977,Heiko Peschke,['Deutschland'],Deutschland
1978,Reinhold Straus,['Deutschland'],Deutschland
1979,Waldemar Anton,['Deutschland'],Deutschland
1980,Sead Kolasinac,"['Bosnien-Herzegowina', 'Deutschland']",Bosnien-Herzegowina
1981,Jan Seifert,['Deutschland'],Deutschland
1982,Gerd Wörmer,['Deutschland'],Deutschland
1983,Hermann Nuber,['Deutschland'],Deutschland
1984,Egon Bihn,['Deutschland'],Deutschland
1985,Florian Bruns,['Deutschland'],Deutschland
1986,Peter Werner,['Deutschland'],Deutschland
1987,Joachim Bäse,['Deutschland'],Deutschland
1988,Karim Matmour,"['Algerien', 'Frankreich']",Algerien
1989,Jürgen Degen,['Deutschland'],Deutschland
1990,Manuel Gulde,['Deutschland'],Deutschland
1991,Raphaël Wicky,['Frankreich'],Frankreich
1992,Patrick Notthoff,['Deutschland'],Deutschland
1993,Alfred Pyka,['Deutschland'],Deutschland
1994,Radwan Yasser,['Ägypten'],Ägypten
1995,Dominik Kohr,['Deutschland'],Deutschland
1996,Herbert Gronen,['Deutschland'],Deutschland
1997,Ademola Lookman,"['England', 'Nigeria']",England
1998,Axel Sundermann,['Deutschland'],Deutschland
1999,Youssoufa Moukoko,['Deutschland'],Deutschland
2000,Claus-Dieter Wollitz,['Deutschland'],Deutschland
2001,Harald Beyer,['Deutschland'],Deutschland
2002,Jonas Wind,['Dänemark'],Dänemark
2003,Kostas Konstantinidis,['Griechenland'],Griechenland
2004,Karlheinz Subklewe,['Deutschland'],Deutschland
2005,Ivo Knoflíček,['Tschechien'],Tschechien
2006,Franz Hasil,['Österreich'],Österreich
2007,Nico Van Kerckhoven,['Belgien'],Belgien
2008,Burghard Rylewicz,['Deutschland'],Deutschland
2009,Zoran Tošić,['Serbien'],Serbien
2010,Robert Skov,['Dänemark'],Dänemark
2011,Ellery Cairo,['Niederlande'],Niederlande
2012,Mickaël Goossens,['Belgien'],Belgien
2013,Bernd Hollerbach,['Deutschland'],Deutschland
2014,Ernst Kreuz,['Deutschland'],Deutschland
2015,Mehdi Ben Slimane,['Tunesien'],Tunesien
2016,Franz-Peter Neumann,['Deutschland'],Deutschland
2017,Jamie Leweling,['Deutschland'],Deutschland
2018,Willibald Weiss,['Deutschland'],Deutschland
2019,Stefan Blank,['Deutschland'],Deutschland
2020,José Dominguez,['Portugal'],Portugal
2021,Ján Kocian,['Slowakei'],Slowakei
2022,Marc Stendera,['Deutschland'],Deutschland
2023,Youssef Mohamad,['Libanon'],Libanon
2024,Dean Thomas,['Wales'],Wales
2025,Hans-Gerd Schildt,['Deutschland'],Deutschland
2026,Hans-Jürgen Boysen,['Deutschland'],Deutschland
2027,Jürgen Wingert,['Deutschland'],Deutschland
2028,Herbert Stöckl,['Deutschland'],Deutschland
2029,Dominic Maroh,"['Slowenien', 'Deutschland']",Slowenien
2030,Günter Karbowiak,['Deutschland'],Deutschland
2031,Dennis Geiger,['Deutschland'],Deutschland
2032,Ulf Metschies,['Deutschland'],Deutschland
2033,Joachim Weber,['Deutschland'],Deutschland
2034,Angelo Nijskens,['Niederlande'],Niederlande
2035,Davor Šuker,['Kroatien'],Kroatien
2036,Ari Hjelm,['Finnland'],Finnland
2037,Ali Ibrahim,['Ghana'],Ghana
2038,Salvatore Gambino,"['Deutschland', 'Italien']",Deutschland
2039,Andrej Panadić,['Kroatien'],Kroatien
2040,Andre Mijatović,['Kroatien'],Kroatien
2041,Andreas Beck,['Deutschland'],Deutschland
2042,Dirk Bremser,['Deutschland'],Deutschland
2043,Thomas Franck,['Deutschland'],Deutschland
2044,Dariusz Zuraw,['Polen'],Polen
2045,Streli Mamba,"['Deutschland', 'DR Kongo']",Deutschland
2046,Petit,['Portugal'],Portugal
2047,Paul Linz,['Deutschland'],Deutschland
2048,Petr Jiráček,['Tschechien'],Tschechien
2049,Michael Kostner,['Deutschland'],Deutschland
2050,Hans Eisele,['Deutschland'],Deutschland
2051,Milorad Pilipović,['Serbien'],Serbien
2052,Mato Jajalo,"['Bosnien-Herzegowina', 'Kroatien']",Bosnien-Herzegowina
2053,Mathias Abel,['Deutschland'],Deutschland
2054,Winfried Stradt,['Deutschland'],Deutschland
2055,Slaven Bilić,['Kroatien'],Kroatien
2056,Stiven Rivić,['Kroatien'],Kroatien
2057,Jérôme Roussillon,"['Frankreich', 'Guadeloupe']",Frankreich
2058,Jeffrey Gouweleeuw,['Niederlande'],Niederlande
2059,Ryan Babel,"['Niederlande', 'Suriname']",Niederlande
2060,Arthur Boka,"[""Elfenbeinküste""]",Elfenbeinküste
2061,Khodadad Azizi,['Iran'],Iran
2062,Lawrence Aidoo,['Ghana'],Ghana
2063,Hartmut Huhse,['Deutschland'],Deutschland
2064,Dieter Lindner,['Deutschland'],Deutschland
2065,Xabi Alonso,['Spanien'],Spanien
2066,Eugen Ehmann,['Deutschland'],Deutschland
2067,Kevin Stöger,['Österreich'],Österreich
2068,Johannes Eggestein,['Deutschland'],Deutschland
2069,Håvard Flo,['Norwegen'],Norwegen
2070,Holger Ballwanz,['Deutschland'],Deutschland
2071,Dominick Drexler,['Deutschland'],Deutschland
2072,Ned Zelic,"['Australien', 'Kroatien']",Australien
2073,David Régis,"['USA', 'Frankreich']",USA
2074,Christian Träsch,['Deutschland'],Deutschland
2075,Bernhard Hermes,['Deutschland'],Deutschland
2076,Donyell Malen,['Niederlande'],Niederlande
2077,Hans Klinkhammer,['Deutschland'],Deutschland
2078,Dietmar Roth,['Deutschland'],Deutschland
2079,Nenad Bjelica,['Kroatien'],Kroatien
2080,Jesper Lindstrom,['Dänemark'],Dänemark
2081,Bruma,"['Portugal', 'Guinea-Bissau']",Portugal
2082,Torsten Kracht,['Deutschland'],Deutschland
2083,Christian Herrmann,['Deutschland'],Deutschland
2084,Heimo Pfeifenberger,['Österreich'],Österreich
2085,Harald Kügler,['Deutschland'],Deutschland
2086,Jurica Vranješ,['Kroatien'],Kroatien
2087,Marco Kurz,['Deutschland'],Deutschland
2088,Heinz Wilhelmi,['Deutschland'],Deutschland
2089,Markus Suttner,['Österreich'],Österreich
2090,Christof Babatz,['Deutschland'],Deutschland
2091,Horst Riege,['Deutschland'],Deutschland
2092,Gunther Metz,['Deutschland'],Deutschland
2093,Peter Hobday,"['England', 'Deutschland']",England
2094,Willi Schulz,['Deutschland'],Deutschland
2095,Sascha Rösler,['Deutschland'],Deutschland
2096,Markus Hausweiler,['Deutschland'],Deutschland
2097,Michael Aničić,['Deutschland'],Deutschland
2098,Mihai Tararache,['Rumänien'],Rumänien
2099,Ronald Maul,['Deutschland'],Deutschland
2100,Alfons Higl,['Deutschland'],Deutschland
2101,Jérôme Boateng,['Deutschland'],Deutschland
2102,Oliver Kirch,['Deutschland'],Deutschland
2103,Alexander Löbe,['Deutschland'],Deutschland
2104,Rolf Pawellek,['Deutschland'],Deutschland
2105,Nico Schulz,['Deutschland'],Deutschland
2106,Zlatko Dedič,['Slowenien'],Slowenien
2107,Nico Schlotterbeck,['Deutschland'],Deutschland
2108,Willi Mumme,['Deutschland'],Deutschland
2109,Philipp Förster,['Deutschland'],Deutschland
2110,Ritsu Doan,['Japan'],Japan
2111,Élson,['Brasilien'],Brasilien
2112,Frank Kirchhoff,['Deutschland'],Deutschland
2113,Toni Micevski,['Nordmazedonien'],Nordmazedonien
2114,Chadrac Akolo,['DR Kongo'],DR Kongo
2115,Frank Hartmann,['Deutschland'],Deutschland
2116,Ahmed Kutucu,['Deutschland'],Deutschland
2117,Marcus Berg,['Schweden'],Schweden
2118,Tin Jedvaj,['Kroatien'],Kroatien
2119,Thomas Riedl,['Deutschland'],Deutschland
2120,Uwe Wolf,['Deutschland'],Deutschland
2121,Miroslaw Spizak,['Polen'],Polen
2122,Andreas Christensen Bødtker,['Dänemark'],Dänemark
2123,Klaus-Peter Jendrosch,['Deutschland'],Deutschland
2124,Kristijan Đorđević,['Serbien'],Serbien
2125,Dirk Helmig,['Deutschland'],Deutschland
2126,Ralf Hauptmann,['Deutschland'],Deutschland
2127,Klaus Fock,['Deutschland'],Deutschland
2128,Alphonso Davies,"['Kanada', 'Liberia']",Kanada
2129,Juan Menseguez,['Argentinien'],Argentinien
2130,Matthieu Delpierre,['Frankreich'],Frankreich
2131,Igor Dobrowolski,['Russland'],Russland
2132,Michel Bastos,"['Brasilien', 'Frankreich']",Brasilien
2133,Zdravko Drinčić,['Montenegro'],Montenegro
2134,Stefan Lainer,['Österreich'],Österreich
2135,Marcel Ndjeng,"['Kamerun', 'Deutschland']",Kamerun
2136,Kjetil Rekdal,['Norwegen'],Norwegen
2137,Bernd Schindler,['Deutschland'],Deutschland
2138,Hans-Uwe Pilz,['Deutschland'],Deutschland
2139,Martin Braun,['Deutschland'],Deutschland
2140,Aymen Barkok,"['Deutschland', 'Marokko']",Deutschland
2141,Anthony Baffoe,['Ghana'],Ghana
2142,Nils Schmäler,['Deutschland'],Deutschland
2143,Serhou Guirassy,['Frankreich'],Frankreich
2144,Igor Belanow,['Ukraine'],Ukraine
2145,Theodor Homann,['Deutschland'],Deutschland
2146,Marcel Rath,['Deutschland'],Deutschland
2147,Jürgen Luginger,['Deutschland'],Deutschland
2148,Klaus Vöhringer,['Deutschland'],Deutschland
2149,Sebastian Hähnge,['Deutschland'],Deutschland
2150,Andreas Jakobsson,['Schweden'],Schweden
2151,Jiří Kaufman,['Tschechien'],Tschechien
2152,Marco Villa,['Deutschland'],Deutschland
2153,Luboš Kubík,['Tschechien'],Tschechien
2154,Dieter Versen,['Deutschland'],Deutschland
2155,Lars Ellmerich,['Deutschland'],Deutschland
2156,Rainer Rauffmann,['Zypern'],Zypern
2157,Steffen Heidrich,['Deutschland'],Deutschland
2158,Hermann Gerland,['Deutschland'],Deutschland
2159,Gerd Becker,['Deutschland'],Deutschland
2160,Frank Thommessen,['Deutschland'],Deutschland
2161,Anton Regh,['Deutschland'],Deutschland
2162,Emil Berggreen,['Dänemark'],Dänemark
2163,Danny da Costa,"['Deutschland', 'Angola']",Deutschland
2164,Eduard Buckmaier,['Deutschland'],Deutschland
2165,Richard Albrecht,['Deutschland'],Deutschland
2166,Rocco Milde,['Deutschland'],Deutschland
2167,Andreas Voglsammer,['Deutschland'],Deutschland
2168,Adam Matuszczyk,"['Polen', 'Deutschland']",Polen
2169,Filip Tapalovic,"['Kroatien', 'Deutschland']",Kroatien
2170,Takuma Asano,['Japan'],Japan
2171,Robin Koch,['Deutschland'],Deutschland
2172,Anatoli Timoschtschuk,['Ukraine'],Ukraine
2173,Matthias Zimmermann,['Deutschland'],Deutschland
2174,René Botteron,['Schweiz'],Schweiz
2175,Roger Magnusson,['Schweden'],Schweden
2176,Ragnar Klavan,['Estland'],Estland
2177,Alois Schwartz,['Deutschland'],Deutschland
2178,Gerhard Wanner,['Deutschland'],Deutschland
2179,Dan-Axel Zagadou,['Frankreich'],Frankreich
2180,Patrick Ochs,['Deutschland'],Deutschland
2181,Paul Dörflinger,['Deutschland'],Deutschland
2182,Lasse Sobiech,['Deutschland'],Deutschland
2183,Martin Meichelbeck,['Deutschland'],Deutschland
2184,Andrija Ankovic,['Kroatien'],Kroatien
2185,Charles Takyi,"['Ghana', 'Deutschland']",Ghana
2186,Darko Pančev,['Nordmazedonien'],Nordmazedonien
2187,Uwe Behrens,['Deutschland'],Deutschland
2188,Erwin Metzger,['Deutschland'],Deutschland
2189,Timm Klose,"['Schweiz', 'Deutschland']",Schweiz
2190,Tiago Tomás,['Portugal'],Portugal
2191,Marcel Ketelaer,['Deutschland'],Deutschland
2192,Friedel Lutz,['Deutschland'],Deutschland
2193,Luc Castaignos,['Niederlande'],Niederlande
2194,Iago,['Brasilien'],Brasilien
2195,Darko Dražić,['Kroatien'],Kroatien
2196,Thomas Broich,['Deutschland'],Deutschland
2197,Ulrich van den Berg,['Deutschland'],Deutschland
2198,Dominique Heintz,['Deutschland'],Deutschland
2199,Matthias Westerwinter,['Deutschland'],Deutschland
2200,Uwe Dittus,['Deutschland'],Deutschland
2201,Mikael Ishak,['Schweden'],Schweden
2202,Patrik Berger,['Tschechien'],Tschechien
2203,Matthias Maucksch,['Deutschland'],Deutschland
2204,Werner Kriegler,['Deutschland'],Deutschland
2205,Klaus-Dieter Jank,['Deutschland'],Deutschland
2206,Frank Schmöller,['Deutschland'],Deutschland
2207,Ole Rasmussen,['Dänemark'],Dänemark
2208,Ivica Jozić,['Bosnien-Herzegowina'],Bosnien-Herzegowina
2209,Christian Eichner,['Deutschland'],Deutschland
2210,Matthias Becker,['Deutschland'],Deutschland
2211,Herbert Reiss,['Deutschland'],Deutschland
2212,Helmut Siber,['Österreich'],Österreich
2213,Josip Šimunić,"['Kroatien', 'Australien']",Kroatien
2214,Rüdiger Kauf,['Deutschland'],Deutschland
2215,Niklas Skoog,['Schweden'],Schweden
2216,Sebastian Boenisch,"['Polen', 'Deutschland']",Polen
2217,Alexander Baumjohann,['Deutschland'],Deutschland
2218,Adam Nemec,['Slowakei'],Slowakei
2219,Werner Rinas,['Deutschland'],Deutschland
2220,Vieirinha,['Portugal'],Portugal
2221,Rainer Scharinger,['Deutschland'],Deutschland
2222,Wulf-Ingo Usbeck,['Deutschland'],Deutschland
2223,Oliver Held,['Deutschland'],Deutschland
2224,Klaus Müller,['Deutschland'],Deutschland
2225,Thilo Kehrer,['Deutschland'],Deutschland
2226,Roman Týce,['Tschechien'],Tschechien
2227,Holger Anthes,['Deutschland'],Deutschland
2228,Miodrag Živaljević,['Serbien'],Serbien
2229,Pável Pardo,['Mexiko'],Mexiko
2230,Horst Schmidt,['Deutschland'],Deutschland
2231,Bastian Hellberg,['Deutschland'],Deutschland
2232,Horst Waclawiak,['Deutschland'],Deutschland
2233,Niko Gießelmann,['Deutschland'],Deutschland
2234,Hartmut Fromm,['Deutschland'],Deutschland
2235,Dedryck Boyata,"['Belgien', 'DR Kongo']",Belgien
2236,Murdo MacLeod,['Schottland'],Schottland
2237,Hanno Behrens,['Deutschland'],Deutschland
2238,Norbert Leopoldseder,['Deutschland'],Deutschland
2239,Günter Weber,['Deutschland'],Deutschland
2240,Jan Hochscheidt,['Deutschland'],Deutschland
2241,Manuel Akanji,['Schweiz'],Schweiz
2242,Aron Jóhannsson,['USA'],USA
2243,Danny Blum,['Deutschland'],Deutschland
2244,Karim Bagheri,['Iran'],Iran
2245,Helmut Nerlinger,['Deutschland'],Deutschland
2246,Gerhard Schrader,['Deutschland'],Deutschland
2247,Tuta,['Brasilien'],Brasilien
2248,Emil Jula,['Rumänien'],Rumänien
2249,Jochen Kientz,['Deutschland'],Deutschland
2250,Stefan Kuhn,['Deutschland'],Deutschland
2251,Gerd Klier,['Deutschland'],Deutschland
2252,Gunther Schepens,['Belgien'],Belgien
2253,Adam Hloušek,['Tschechien'],Tschechien
2254,Harald Beck,['Deutschland'],Deutschland
2255,Alban Wüst,['Deutschland'],Deutschland
2256,Jude Bellingham,['England'],England
2257,Conor Casey,['USA'],USA
2258,Evanilson,['Brasilien'],Brasilien
2259,Stefan Böger,['Deutschland'],Deutschland
2260,Jochen Heisig,['Deutschland'],Deutschland
2261,Herbert Demange,['Deutschland'],Deutschland
2262,Florin Răducioiu,['Rumänien'],Rumänien
2263,Poul-Erik Thygesen,['Dänemark'],Dänemark
2264,Hans-Josef Hellingrath,['Deutschland'],Deutschland
2265,Pierre Kunde,['Kamerun'],Kamerun
2266,Juan Sorín,"['Argentinien', 'Italien']",Argentinien
2267,Percy Olivares,['Peru'],Peru
2268,Jürgen Täuber,['Deutschland'],Deutschland
2269,Jessic Ngankam,"['Deutschland', 'Kamerun']",Deutschland
2270,Kevin McKenna,['Kanada'],Kanada
2271,Marcelo Pletsch,"['Brasilien', 'Deutschland']",Brasilien
2272,Harry Fechner,['Deutschland'],Deutschland
2273,Ludwig Lang,['Deutschland'],Deutschland
2274,Jae-Sung Lee,['Südkorea'],Südkorea
2275,Martin Amedick,['Deutschland'],Deutschland
2276,Konstantinos Mavropanos,['Griechenland'],Griechenland
2277,Geromel,"['Brasilien', 'Italien']",Brasilien
2278,Luizão,['Brasilien'],Brasilien
2279,Lothar Wesseler,['Deutschland'],Deutschland
2280,Silvan Widmer,['Schweiz'],Schweiz
2281,Nesat Gülünoglu,['Türkei'],Türkei
2282,Carsten Cullmann,['Deutschland'],Deutschland
2283,Marco Küntzel,['Deutschland'],Deutschland
2284,Milos Pantovic,['Serbien'],Serbien
2285,Peter Pekarík,['Slowakei'],Slowakei
2286,Sergej Gorlukowitsch,['Russland'],Russland
2287,Sanny Åslund,['Schweden'],Schweden
2288,Junior,['Brasilien'],Brasilien
2289,Paul Hahn,['Deutschland'],Deutschland
2290,Bernd Hoffmann,['Deutschland'],Deutschland
2291,Shawn Parker,"['Deutschland', 'USA']",Deutschland
2292,Horst Raubold,['Deutschland'],Deutschland
2293,Udo Nix,['Deutschland'],Deutschland
2294,Waleri Domowtschijski,['Bulgarien'],Bulgarien
2295,Uwe Bühler,['Deutschland'],Deutschland
2296,Tarik Elyounoussi,['Norwegen'],Norwegen
2297,Dimitrios Grammozis,"['Griechenland', 'Deutschland']",Griechenland
2298,Joachim Hopp,['Deutschland'],Deutschland
2299,Morten Skoubo,['Dänemark'],Dänemark
2300,Alfredo Morales,"['USA', 'Deutschland']",USA
2301,Thomas Ritter,['Deutschland'],Deutschland
2302,Werner Kaiser,['Deutschland'],Deutschland
2303,Thomas Puschmann,['Deutschland'],Deutschland
2304,Zoran Mamić,['Kroatien'],Kroatien
2305,Jaouhar Mnari,['Tunesien'],Tunesien
2306,Pavel Krmas,['Tschechien'],Tschechien
2307,Daniel Halfar,['Deutschland'],Deutschland
2308,Dawid Kownacki,['Polen'],Polen
2309,Alexander Bugera,['Deutschland'],Deutschland
2310,Hans Schmidradner,['Österreich'],Österreich
2311,Dirk Schlegel,['Deutschland'],Deutschland
2312,Guido Erhard,['Deutschland'],Deutschland
2313,Herbert Weinberg,['Deutschland'],Deutschland
2314,Alexander Kutschera,['Deutschland'],Deutschland
2315,Antonio-Mirko Čolak,"['Kroatien', 'Deutschland']",Kroatien
2316,Robert Pötzschke,['Deutschland'],Deutschland
2317,Moritz Stoppelkamp,['Deutschland'],Deutschland
2318,Santiago García,"['Argentinien', 'Italien']",Argentinien
2319,Jiayi Shao,['China'],China
2320,Steven Skrzybski,['Deutschland'],Deutschland
2321,Gerd Krug,['Deutschland'],Deutschland
2322,André Hoffmann,['Deutschland'],Deutschland
2323,Thomas Herbst,['Deutschland'],Deutschland
2324,Josef Sarroca,['Deutschland'],Deutschland
2325,Weston McKennie,['USA'],USA
2326,Raoul Tagliari,['Brasilien'],Brasilien
2327,Kaj Poulsen,['Dänemark'],Dänemark
2328,Daniel Jurgeleit,['Deutschland'],Deutschland
2329,Christian Gross,['Schweiz'],Schweiz
2330,Marco Terrazzino,"['Deutschland', 'Italien']",Deutschland
2331,Solomon Okoronkwo,['Nigeria'],Nigeria
2332,Matthias Baranowski,['Deutschland'],Deutschland
2333,Joshua Zirkzee,['Niederlande'],Niederlande
2334,Kevin Schade,['Deutschland'],Deutschland
2335,Christoph Metzelder,['Deutschland'],Deutschland
2336,Michael Nushöhr,['Deutschland'],Deutschland
2337,Igli Tare,"['Albanien', 'Italien']",Albanien
2338,Wolfgang Kulka,['Deutschland'],Deutschland
2339,Ferenc Schmidt,['Deutschland'],Deutschland
2340,Pavel Chaloupka,['Tschechien'],Tschechien
2341,Tomás Galásek,['Tschechien'],Tschechien
2342,Hans Haunstein,['Deutschland'],Deutschland
2343,Abdelhamid Sabiri,['Marokko'],Marokko
2344,Alfred Herberth,['Deutschland'],Deutschland
2345,Roman Sedláček,['Tschechien'],Tschechien
2346,Francis Kioyo,['Deutschland'],Deutschland
2347,Allan Hansen,['Dänemark'],Dänemark
2348,Roy Beerens,['Niederlande'],Niederlande
2349,Peter Nielsen,['Dänemark'],Dänemark
2350,Christoph Budde,['Deutschland'],Deutschland
2351,Claudiu Niculescu,['Rumänien'],Rumänien
2352,Mathias Hönerbach,['Deutschland'],Deutschland
2353,Dieter Stinka,['Deutschland'],Deutschland
2354,Karl Werner,['Deutschland'],Deutschland
2355,Jeffrey Bruma,['Niederlande'],Niederlande
2356,Dieter Zembski,['Deutschland'],Deutschland
2357,Gerd Peehs,['Deutschland'],Deutschland
2358,Paul Pidancet,['Deutschland'],Deutschland
2359,Marcus Allbäck,['Schweden'],Schweden
2360,Holger Stanislawski,['Deutschland'],Deutschland
2361,Guido Szesni,['Deutschland'],Deutschland
2362,Erwin Glod,['Deutschland'],Deutschland
2363,Fabrice Ehret,['Frankreich'],Frankreich
2364,Jan Eriksson,['Schweden'],Schweden
2365,Håvard Nielsen,['Norwegen'],Norwegen
2366,Frank Edmond,['Deutschland'],Deutschland
2367,Lars Schmidt,['Deutschland'],Deutschland
2368,Nikolaj Pisarew,['Russland'],Russland
2369,Peter Kupferschmidt,['Deutschland'],Deutschland
2370,Bernd Korzynietz,['Deutschland'],Deutschland
2371,Aleksander Knavs,['Slowenien'],Slowenien
2372,Jimmy Briand,"['Frankreich', 'Martinique']",Frankreich
2373,Thomas Hoersen,['Deutschland'],Deutschland
2374,Bodo Schmidt,['Deutschland'],Deutschland
2375,Stefan Persigehl,['Deutschland'],Deutschland
2376,Janni Serra,['Deutschland'],Deutschland
2377,Ben Zolinski,['Deutschland'],Deutschland
2378,Lodewijk Roembiak,['Niederlande'],Niederlande
2379,Manfred Wagner,['Deutschland'],Deutschland
2380,Fabian Boll,['Deutschland'],Deutschland
2381,Werner Grau,['Deutschland'],Deutschland
2382,Christian Bassila,"['Frankreich', 'Kongo']",Frankreich
2383,Hans-Günther Plücken,['Deutschland'],Deutschland
2384,Rudolf Sturz,['Deutschland'],Deutschland
2385,Oliver Schröder,['Deutschland'],Deutschland
2386,Michael Wollitz,['Deutschland'],Deutschland
2387,Romain Brégerie,['Frankreich'],Frankreich
2388,Vidar Riseth,['Norwegen'],Norwegen
2389,Andrij Jarmolenko,['Ukraine'],Ukraine
2390,Juan Bernat,['Spanien'],Spanien
2391,Uwe Hünemeier,['Deutschland'],Deutschland
2392,Dusan Petković,['Serbien'],Serbien
2393,Marcel Schmelzer,['Deutschland'],Deutschland
2394,Ansgar Brinkmann,['Deutschland'],Deutschland
2395,Dirk Lehmann,['Deutschland'],Deutschland
2396,Stefan Kühlhorn,['Deutschland'],Deutschland
2397,Eberhard Pfisterer,['Deutschland'],Deutschland
2398,Thomas Meunier,['Belgien'],Belgien
2399,Ali Karimi,['Iran'],Iran
2400,Harald Katemann,['Deutschland'],Deutschland
2401,Marco Zallmann,['Deutschland'],Deutschland
2402,Xaver Schlager,['Österreich'],Österreich
2403,Aleksandar Dragović,['Österreich'],Österreich
2404,Jörg Schuberth,['Deutschland'],Deutschland
2405,Jeremiah St. Juste,['Niederlande'],Niederlande
2406,Claus Thomsen,['Dänemark'],Dänemark
2407,Simon Kjær,['Dänemark'],Dänemark
2408,Juri Schlünz,['Deutschland'],Deutschland
2409,Georg Metzger,['Deutschland'],Deutschland
2410,Rolf Wüthrich,['Deutschland'],Deutschland
2411,Alphonse Tchami,['Kamerun'],Kamerun
2412,Bo Svensson,['Dänemark'],Dänemark
2413,Oliver Freund,['Deutschland'],Deutschland
2414,Bernd Dobiasch,['Deutschland'],Deutschland
2415,Janosch Dziwior,['Deutschland'],Deutschland
2416,Carsten Baumann,['Deutschland'],Deutschland
2417,Samuel Slovák,['Slowakei'],Slowakei
2418,Christoph Westerthaler,['Österreich'],Österreich
2419,Helmut Müller,['Deutschland'],Deutschland
2420,Matthias Zimmermann,['Deutschland'],Deutschland
2421,Hans-Georg Tutschek,['Österreich'],Österreich
2422,Miroslav Baránek,['Tschechien'],Tschechien
2423,Justin Kluivert,['Niederlande'],Niederlande
2424,Adam Bodzek,"['Deutschland', 'Polen']",Deutschland
2425,Maximilian Nicu,['Rumänien'],Rumänien
2426,Josef Stering,['Österreich'],Österreich
2427,Dieter Fern,['Deutschland'],Deutschland
2428,Hervé Nzelo-Lembi,"['DR Kongo', 'Belgien']",DR Kongo
2429,Jürgen-Michael Galbierz,['Deutschland'],Deutschland
2430,Isaac Vorsah,['Ghana'],Ghana
2431,Marek Penksa,['Slowakei'],Slowakei
2432,Mijat Gaćinović,['Serbien'],Serbien
2433,Tobias Homp,['Deutschland'],Deutschland
2434,Jurgen Ekkelenkamp,['Niederlande'],Niederlande
2435,Rubén Sosa,['Uruguay'],Uruguay
2436,Hermann-Dieter Bellut,['Deutschland'],Deutschland
2437,Ajdin Hrustic,['Australien'],Australien
2438,Jean-Pierre Papin,['Frankreich'],Frankreich
2439,Georg Beichle,['Deutschland'],Deutschland
2440,Herbert Meyer,['Deutschland'],Deutschland
2441,Lothar Dupke,['Deutschland'],Deutschland
2442,Vilmos Sebők,['Ungarn'],Ungarn
2443,Rudolf Kröner,['Deutschland'],Deutschland
2444,Andreas Brandts,['Deutschland'],Deutschland
2445,Nicklas Bendtner,['Dänemark'],Dänemark
2446,Maicosuel,['Brasilien'],Brasilien
2447,José António,['Portugal'],Portugal
2448,Dirk Greiser,['Deutschland'],Deutschland
