,Spieler,Nation,Nationalelf
476,Manfred Kastl,['Deutschland'],Deutschland
477,Christopher Nkunku,['Frankreich'],Frankreich
478,Marcel Răducanu,['Rumänien'],Rumänien
479,Johan Micoud,['Frankreich'],Frankreich
480,Edgar Schmitt,['Deutschland'],Deutschland
481,Andreas Zeyer,['Deutschland'],Deutschland
482,Peter Lux,['Deutschland'],Deutschland
483,Niko Kovač,['Kroatien'],Kroatien
484,Ihlas Bebou,"['Togo', 'Deutschland']",Togo
485,Thomas Remark,['Deutschland'],Deutschland
486,Robin Quaison,"['Schweden', 'Ghana']",Schweden
487,Karl-Heinz Struth,['Deutschland'],Deutschland
488,Otto Geisert,['Deutschland'],Deutschland
489,Ivan Perisic,['Kroatien'],Kroatien
490,Josip Drmić,"['Schweiz', 'Kroatien']",Schweiz
491,Werner Melzer,['Deutschland'],Deutschland
492,Franz Gerber,['Deutschland'],Deutschland
493,Lothar Woelk,['Deutschland'],Deutschland
494,Klaus Budde,['Deutschland'],Deutschland
495,Danilo Popivoda,['Slowenien'],Slowenien
496,Lothar Huber,['Deutschland'],Deutschland
497,Axel Kruse,['Deutschland'],Deutschland
498,Mohammed Abdellaoue,['Norwegen'],Norwegen
499,Stephan Groß,['Deutschland'],Deutschland
500,Dirk Zander,['Deutschland'],Deutschland
501,Paul Agostino,"['Australien', 'Italien']",Australien
502,Kingsley Coman,['Frankreich'],Frankreich
503,Michael Eggert,['Deutschland'],Deutschland
504,Jhon Córdoba,['Kolumbien'],Kolumbien
505,Anthony Ujah,['Nigeria'],Nigeria
506,Jürgen Rische,['Deutschland'],Deutschland
507,Wolfgang Patzke,['Deutschland'],Deutschland
508,Uwe Freiler,['Deutschland'],Deutschland
509,Josip Skoblar,"['Kroatien', 'Jugoslawien']",Kroatien
510,Gerd Strack,['Deutschland'],Deutschland
511,Eyjólfur Sverrisson,['Island'],Island
512,Daniel Ginczek,['Deutschland'],Deutschland
513,Christian Nerlinger,['Deutschland'],Deutschland
514,Gerhard Bold,['Deutschland'],Deutschland
515,Harry Ellbracht,['Deutschland'],Deutschland
516,Paul Freier,['Deutschland'],Deutschland
517,Bernd Cullmann,['Deutschland'],Deutschland
518,Mats Hummels,['Deutschland'],Deutschland
519,René Rydlewicz,['Deutschland'],Deutschland
520,Marijan Christow,['Bulgarien'],Bulgarien
521,Mehdi Mahdavikia,['Iran'],Iran
522,Wolfgang Schäfer,['Deutschland'],Deutschland
523,Steffen Baumgart,['Deutschland'],Deutschland
524,Luka Jović,['Serbien'],Serbien
525,Tranquillo Barnetta,"['Schweiz', 'Italien']",Schweiz
526,Raúl Bobadilla,"['Argentinien', 'Paraguay']",Paraguay
527,Jörg Albertz,['Deutschland'],Deutschland
528,Alexander Madlung,['Deutschland'],Deutschland
529,Arturo Vidal,['Chile'],Chile
530,Fin Bartels,['Deutschland'],Deutschland
531,Martin Petrow,['Bulgarien'],Bulgarien
532,Stan Libuda,['Deutschland'],Deutschland
533,Michael Kutzop,['Polen'],Polen
534,Jakub Błaszczykowski,['Polen'],Polen
535,Ronny Borchers,['Deutschland'],Deutschland
536,Guido Buchwald,['Deutschland'],Deutschland
537,Willi Entenmann,['Deutschland'],Deutschland
538,Amoroso,"['Brasilien', 'Italien']",Brasilien
539,Wolfgang Grobe,['Deutschland'],Deutschland
540,Ralf Sturm,['Deutschland'],Deutschland
541,Raúl,['Spanien'],Spanien
542,Janusz Turowski,['Polen'],Polen
543,Jürgen Kalb,['Deutschland'],Deutschland
544,Ja-Cheol Koo,['Südkorea'],Südkorea
545,Jupp Nehl,['Deutschland'],Deutschland
546,Roger van Gool,['Belgien'],Belgien
547,Dieter Schatzschneider,['Deutschland'],Deutschland
548,Herbert Lütkebohmert,['Deutschland'],Deutschland
549,Jürgen Kohler,['Deutschland'],Deutschland
550,Chicharito,['Mexiko'],Mexiko
551,Jürgen Moll,['Deutschland'],Deutschland
552,Niclas Füllkrug,['Deutschland'],Deutschland
553,Hakan Çalhanoğlu,"['Türkei', 'Deutschland']",Türkei
554,Stanislav Šesták,['Slowakei'],Slowakei
555,André Breitenreiter,['Deutschland'],Deutschland
556,Leon Bailey,['Jamaika'],Jamaika
557,Amand Theis,['Deutschland'],Deutschland
558,Mohamadou Idrissou,['Kamerun'],Kamerun
559,Sven Demandt,['Deutschland'],Deutschland
560,Christian Wörns,['Deutschland'],Deutschland
561,Maximilian Philipp,['Deutschland'],Deutschland
562,Erdal Keser,['Türkei'],Türkei
563,Paul Steiner,['Deutschland'],Deutschland
564,Arie van Lent,['Deutschland'],Deutschland
565,Eren Derdiyok,"['Schweiz', 'Türkei']",Schweiz
566,Marc Wilmots,['Belgien'],Belgien
567,Sebastian Freis,['Deutschland'],Deutschland
568,Horst Trimhold,['Deutschland'],Deutschland
569,Angelos Charisteas,['Griechenland'],Griechenland
570,Olaf Bodden,['Deutschland'],Deutschland
571,Peter Meyer,['Deutschland'],Deutschland
572,Günther Herrmann,['Deutschland'],Deutschland
573,Dietmar Danner,['Deutschland'],Deutschland
574,Julian Schieber,['Deutschland'],Deutschland
575,Daniel Van Buyten,['Belgien'],Belgien
576,Magnus Arvidsson,['Schweden'],Schweden
577,Adel Sellimi,['Tunesien'],Tunesien
578,Werner Lotz,['Deutschland'],Deutschland
579,Sidney Sam,['Deutschland'],Deutschland
580,Karl-Heinz Kamp,['Deutschland'],Deutschland
581,Nando Rafael,"['Angola', 'Deutschland']",Angola
582,Manfred Binz,['Deutschland'],Deutschland
583,Sami Allagui,"['Tunesien', 'Deutschland']",Tunesien
584,Holger Brück,['Deutschland'],Deutschland
585,Franz-Josef Tenhagen,['Deutschland'],Deutschland
586,Walter Oswald,['Deutschland'],Deutschland
587,Dieter Trunk,['Deutschland'],Deutschland
588,Róbert Vittek,['Slowakei'],Slowakei
589,Mame Diouf,['Senegal'],Senegal
590,Delron Buckley,['Südafrika'],Südafrika
591,Hans Jörg Butt,['Deutschland'],Deutschland
592,Heiko Westermann,['Deutschland'],Deutschland
593,Yuya Osako,['Japan'],Japan
594,Matthias Herget,['Deutschland'],Deutschland
595,Leonardo Bittencourt,"['Deutschland', 'Brasilien']",Deutschland
596,Raphaël Guerreiro,"['Portugal', 'Frankreich']",Portugal
597,Saša Ćirić,['Nordmazedonien'],Nordmazedonien
598,Boubacar Sanogo,"[""Elfenbeinküste""]",Elfenbeinküste
599,Gustav Jung,['Deutschland'],Deutschland
600,Maurice Banach,['Deutschland'],Deutschland
601,Lewis Holtby,"['Deutschland', 'England']",Deutschland
602,Yasuhiko Okudera,['Japan'],Japan
603,Ludwig Müller,['Deutschland'],Deutschland
