Spieler,DFB_id,link,Nation,Nationalelf
Robin Hack,340226,https://datencenter.dfb.de/profil/340226,['Deutschland'],Deutschland
Richard Sukuta-Pasu,111411,https://datencenter.dfb.de/profil/111411,['Deutschland'],Deutschland
Heinz Poll,44270,https://datencenter.dfb.de/profil/44270,['Deutschland'],Deutschland
Paulo Sousa,41240,https://datencenter.dfb.de/profil/41240,['Portugal'],Portugal
Çağlar Söyüncü,369279,https://datencenter.dfb.de/profil/369279,['Türkei'],Türkei
Terrence Boyd,146226,https://datencenter.dfb.de/profil/146226,"['USA', 'Deutschland']",USA
Ceyhun Gülselam,79024,https://datencenter.dfb.de/profil/79024,"['Türkei', 'Deutschland']",Türkei
Keita Endo,378205,https://datencenter.dfb.de/profil/378205,['Japan'],Japan
Olivier Occéan,17935,https://datencenter.dfb.de/profil/17935,['Kanada'],Kanada
Felix Bastians,4398,https://datencenter.dfb.de/profil/4398,['Deutschland'],Deutschland
Rudi Vata,40854,https://datencenter.dfb.de/profil/40854,['Albanien'],Albanien
Samir Toplak,40806,https://datencenter.dfb.de/profil/40806,['Kroatien'],Kroatien
Matthias Liebers,46937,https://datencenter.dfb.de/profil/46937,['Deutschland'],Deutschland
Albin Ekdal,16250,https://datencenter.dfb.de/profil/16250,['Schweden'],Schweden
Szilárd Németh,1471,https://datencenter.dfb.de/profil/1471,['Slowakei'],Slowakei
Alfred Roscher,45800,https://datencenter.dfb.de/profil/45800,['Österreich'],Österreich
Daniel Williams,131953,https://datencenter.dfb.de/profil/131953,"['USA', 'Deutschland']",USA
Heinz-Dieter Borgmann,43969,https://datencenter.dfb.de/profil/43969,['Deutschland'],Deutschland
Luca Netz,379021,https://datencenter.dfb.de/profil/379021,['Deutschland'],Deutschland
Carlos Gruezo,253288,https://datencenter.dfb.de/profil/253288,['Ecuador'],Ecuador
Zdeněk Pospěch,9816,https://datencenter.dfb.de/profil/9816,['Tschechien'],Tschechien
Jamilu Collins,381569,https://datencenter.dfb.de/profil/381569,['Nigeria'],Nigeria
Iulian Filipescu,42264,https://datencenter.dfb.de/profil/42264,['Rumänien'],Rumänien
Rudi Istenic,41789,https://datencenter.dfb.de/profil/41789,['Slowenien'],Slowenien
Herwart Koppenhöfer,43225,https://datencenter.dfb.de/profil/43225,['Deutschland'],Deutschland
Florent Hadergjonaj,332564,https://datencenter.dfb.de/profil/332564,"['Schweiz', 'Kosovo']",Schweiz
Jürgen Boduszek,44213,https://datencenter.dfb.de/profil/44213,['Deutschland'],Deutschland
Luca Caldirola,223300,https://datencenter.dfb.de/profil/223300,['Italien'],Italien
Tobias Willi,19080,https://datencenter.dfb.de/profil/19080,['Deutschland'],Deutschland
Andreas Hinkel,5332,https://datencenter.dfb.de/profil/5332,['Deutschland'],Deutschland
Dieter Burdenski,43091,https://datencenter.dfb.de/profil/43091,['Deutschland'],Deutschland
Joseph Akpala,24601,https://datencenter.dfb.de/profil/24601,"['Nigeria', 'Belgien']",Nigeria
Besart Berisha,4454,https://datencenter.dfb.de/profil/4454,['Albanien'],Albanien
Jürgen Willkomm,44919,https://datencenter.dfb.de/profil/44919,['Deutschland'],Deutschland
Werner Pöhler,44112,https://datencenter.dfb.de/profil/44112,['Deutschland'],Deutschland
Coke,135769,https://datencenter.dfb.de/profil/135769,['Spanien'],Spanien
Marouene Guezmir,47051,https://datencenter.dfb.de/profil/47051,['Tunesien'],Tunesien
Lúcio,14949,https://datencenter.dfb.de/profil/14949,['Brasilien'],Brasilien
Torsten Fröhling,1531,https://datencenter.dfb.de/profil/1531,['Deutschland'],Deutschland
Zvezdan Cvetković,45797,https://datencenter.dfb.de/profil/45797,['Jugoslawien'],Jugoslawien
Diego Demme,129911,https://datencenter.dfb.de/profil/129911,"['Deutschland', 'Italien']",Deutschland
Lars Unger,43184,https://datencenter.dfb.de/profil/43184,['Deutschland'],Deutschland
Michael Wittwer,46134,https://datencenter.dfb.de/profil/46134,['Deutschland'],Deutschland
Hans-Werner Kremer,44146,https://datencenter.dfb.de/profil/44146,['Deutschland'],Deutschland
Gottfried Peter,43677,https://datencenter.dfb.de/profil/43677,['Deutschland'],Deutschland
Kingsley Ehizibue,390775,https://datencenter.dfb.de/profil/390775,"['Niederlande', 'Nigeria']",Niederlande
Heinz Kulik,44197,https://datencenter.dfb.de/profil/44197,['Deutschland'],Deutschland
Bartosz Kapustka,360940,https://datencenter.dfb.de/profil/360940,['Polen'],Polen
Boubacar Diarra,10010,https://datencenter.dfb.de/profil/10010,"['Mali', 'Frankreich']",Mali
Peter Eggert,44643,https://datencenter.dfb.de/profil/44643,['Deutschland'],Deutschland
Bojan,9086,https://datencenter.dfb.de/profil/9086,"['Spanien', 'Serbien']",Spanien
Bamba Anderson,130250,https://datencenter.dfb.de/profil/130250,['Brasilien'],Brasilien
Werner Mangold,42499,https://datencenter.dfb.de/profil/42499,['Deutschland'],Deutschland
Bernardo,372305,https://datencenter.dfb.de/profil/372305,['Brasilien'],Brasilien
Ralf Zumdick,45421,https://datencenter.dfb.de/profil/45421,['Deutschland'],Deutschland
Sebastian Vasiliadis,363011,https://datencenter.dfb.de/profil/363011,"['Deutschland', 'Griechenland']",Deutschland
Ilir Azemi,222108,https://datencenter.dfb.de/profil/222108,['Kosovo'],Kosovo
Klaus Wischniewski,44912,https://datencenter.dfb.de/profil/44912,['Deutschland'],Deutschland
Florian Kath,2609,https://datencenter.dfb.de/profil/2609,['Deutschland'],Deutschland
Melvyn Lorenzen,250975,https://datencenter.dfb.de/profil/250975,['Deutschland'],Deutschland
Myziane Maolida,368458,https://datencenter.dfb.de/profil/368458,['Frankreich'],Frankreich
Arne Maier,350277,https://datencenter.dfb.de/profil/350277,['Deutschland'],Deutschland
Marc Vucinovic,144542,https://datencenter.dfb.de/profil/144542,['Deutschland'],Deutschland
Uli Bayerschmidt,43750,https://datencenter.dfb.de/profil/43750,['Deutschland'],Deutschland
Eckehard Müller,44523,https://datencenter.dfb.de/profil/44523,['Deutschland'],Deutschland
Leo Bunk,45756,https://datencenter.dfb.de/profil/45756,['Deutschland'],Deutschland
Gideon Jung,300157,https://datencenter.dfb.de/profil/300157,"['Deutschland', 'Ghana']",Deutschland
Heinz Schönberger,44172,https://datencenter.dfb.de/profil/44172,['Deutschland'],Deutschland
Andreas Ridder,46175,https://datencenter.dfb.de/profil/46175,['Deutschland'],Deutschland
Timo Hübers,295870,https://datencenter.dfb.de/profil/295870,['Deutschland'],Deutschland
